Drug	Target	Combine_score	BioScore	PredictScore	LiteScore
Dexamethasone	TYMS	1	0	0.142857142857143	1
Dexamethasone	RRM1	1	0	0.142857142857143	1
Dexamethasone	HNMT	0.987240998	0	0	0.987240998
Dexamethasone	ANTXR2	0.999999983	0	0	0.999999983
Dexamethasone	SLCO2B1	0.593318125	0	0	0.593318125
Dexamethasone	AP4B1	1	0	0	1
Dexamethasone	CD200	0.996452364	0	0	0.996452364
Dexamethasone	NOTCH4	0.886773634	0	0	0.886773634
Dexamethasone	GJB1	0.999978035	0	0	0.999978035
Dexamethasone	SDS	1	0	0	1
Dexamethasone	ABCA4	1	0	0	1
Dexamethasone	TFDP1	0.990256093	0	0	0.990256093
Dexamethasone	TCHH	0.992006498	0	0	0.992006498
Dexamethasone	TTPA	0.966561962	0	0	0.966561962
Dexamethasone	SLC38A3	0.997165578	0	0	0.997165578
Dexamethasone	SRL	0.999867634	0	0	0.999867634
Dexamethasone	DUSP26	0.998725749	0	0	0.998725749
Dexamethasone	OR10T2	0.978848015	0	0	0.978848015
Dexamethasone	MAP2K6	0.619038401	0	0	0.619038401
Dexamethasone	PRKCA	1	0	0.0476190476190476	1
Dexamethasone	SMPD1	0.987986297	0	0	0.987986297
Dexamethasone	TNFRSF10B	0.994628704	0	0	0.994628704
Dexamethasone	CHGB	0.943740973	0	0	0.943740973
Dexamethasone	THY1	0.999999996	0	0	0.999999996
Dexamethasone	GNRHR	0.999999667	0	0	0.999999667
Dexamethasone	ARHGAP9	0.999998607	0	0	0.999998607
Dexamethasone	NPY1R	0.337860009	0	0	0.337860009
Dexamethasone	ID2	0.999999436	0	0	0.999999436
Dexamethasone	GSN-AS1	0.999723783	0	0	0.999723783
Dexamethasone	NOTCH2	0.998239426285714	0	0.714285714285714	0.993837992
Dexamethasone	ST6GALNAC2	0.999999951	0	0	0.999999951
Dexamethasone	NTRK1	1	0	0	1
Dexamethasone	ESR1	1	0.5	0.761904761904762	1
Dexamethasone	TDG	0.988226432	0	0	0.988226432
Dexamethasone	KLK2	0.801138073	0	0	0.801138073
Dexamethasone	ITGB7	0.968682453	0	0	0.968682453
Dexamethasone	ITGB3	0.999999902	0	0	0.999999902
Dexamethasone	TEAD1	0.980599329	0	0	0.980599329
Dexamethasone	CAV3	0.999981953	0	0	0.999981953
Dexamethasone	LDB3	0.901512437	0	0	0.901512437
Dexamethasone	AFM	1	0	0	1
Dexamethasone	PEBP1	0.999686571	0	0	0.999686571
Dexamethasone	HNF1B	0.999999891428571	0	0.0952380952380952	0.99999988
Dexamethasone	TNFRSF10A	0.999988636	0	0	0.999988636
Dexamethasone	IQCB1	0.676524771	0	0	0.676524771
Dexamethasone	CA4	0.999967947	0	0	0.999967947
Dexamethasone	ALOX5AP	0.4660349	0	0	0.4660349
Dexamethasone	CYP27A1	1	0	0	1
Dexamethasone	ABCC4	0.95287271	0	0	0.95287271
Dexamethasone	PTN	0.999849479	0	0	0.999849479
Dexamethasone	RGS2	0.688923214761905	0	0.0952380952380952	0.65617829
Dexamethasone	PXN	0.999965949	0	0	0.999965949
Dexamethasone	ZBTB22	0.994477452	0	0	0.994477452
Dexamethasone	ATR	1	0	0	1
